slang,formal
"teman""ny",teman-temannya
ny,nya
alm,almarhum
skrg,sekarang
knpa,kenapa
sie,sih
benet,benar
bangetttt,banget
tuu,tuh
skrang,sekarang
gda,tidak ada
trus,terus
gantiin,menggantikan
sma,sama
jdi,jadi
gak,tidak
kta,kata
kklau,kalo
d,di
acra,acara
gk,tidak
sma,sama
kasian,kasihan
bangett,banget
yaaa ,ya
bnerr,benar
emk,emak
temenn,teman
pngenn,pengin
terkenall,terkenal
ajhh,saja
gk,tidak
sungguh2,sungguh-sungguh
mnjadi,menjadi
shbt,sahabat
k,kak
bner,benar
bgt,banget
ktny,katanya
shbt,sahabat
skrg,sekarang
pda,pada
dimusiumin,dimuseumkan
ga,tidak
bntu,bantu
pda,pada
dlu,dulu
klo,kalo
gda,tidak ada
pda,pada
udh,sudah
pda,pada
kangem,kangen
amiiin,amin
smua,semua
slmt,selamat
jln,jalan
"mudh""an",mudah-mudahan
tenny,tenang
d,di
sdh,sudah
yg,yang
tnya,tanya
blm,belum
td,tadi
sblm,sebelum
yah,ya
bole,boleh
lahhh,lah
tp,tapi
blm,belum
dapet,dapat
maap,maaf
gk,tidak
cm,cuma
syg,sayang
kmrn,kemarin
wkt,waktu
d,di
ama,sama
ak,aku
lht,lihat
biasa2,biasa-biasa
mnrtkuu,menurutku
trs,terus
ikutin,mengikuti
jdwl,jadwal
yaaa,ya
jgn,jangan
wajiiib,wajib
aaaammmiiiinnnn,amin
dtnggu,ditunggu
yah,ya
jan,jangan
kunjungin,kunjungi
lagiiii,lagi
waktunyaaa,waktunya
diluangin,diluangkan
yaa,ya
makasih,terima kasih
jga,juga
mimin,admin
istimewaaa,istimewa
blom,belum
sempet,sempat
nangis,menangis
karna,karena
"ngaku""",mengaku-ngaku
diaa,dia
donkk,dong
gak,tidak
kejawab,terjawab
yaaaa,ya
seru2an,seru-seruan
mohom,mohon
kebalas,terbalas
yaaa,ya
ikutin,ikuti
nyempetin,menyempatkan
wktunya,waktunya
kaaaa,kak
nyempetin,menyempatkan
ngobrol,mengobrol
bangett,banget
namain,menamai
bls,balas
ijap,ijab
kobul,kabul
dgn,dengan
co,cowok
pst,pasti
inggat,ingat
brdua,berdua
masing2,masih
sdh,sudah
pny,punya
brdua,berdua
sanggat,sangat
siipp,sip
laa,lah
dlm,dalam
hdup,hidup
hdp,hidup
trus,terus
kedpan,kedepan
smoga,semoga
mndaptkan,mendapatkan
yng,yang
"nutup""in",menutup-nutupi
liatin,perlihatkan
iyah,iya
sja,saja
kakkk,kak
za,saja
mulut2,mulut-mulut
peengn,pengin
tuch,tuh
muantteepp,mantap
cpt,cepat
mrit,merit
y,ya
ngapasih,mengapa sih
ni,ini
segitunya,sebegitunya
fto,foto
pke,pakai
males,malas
sisain,menyisakan
slamt,selamat
nantiii,nanti
edaaan,edan
emg,memang
bener2,benar-benar
